sample_id,source_file,label,element_html,parent_html,sr_transcript,sr_status_announcement,sr_role_state_value,sr_label_instruction,sr_focus_order,sr_link_purpose,sr_headings_labels,sr_reading_order,sr_keyboard_trap,sr_focus_context,sr_input_context,sr_sensory_reference,Prediction,Reason,Confidence,EvidenceCitation,AppliedSkills
css-displaynone-used-to-visually-hide-content-when-it-should-be-available-to-screenreader::sample-0,css-displaynone-used-to-visually-hide-content-when-it-should-be-available-to-screenreader.html,inaccessible,"<main><a href=""football.html"">Read more <span style=""display:none""> about football</span></a></main>","<body><h1>Do you know what is football?</h1><main><a href=""football.html"">Read more <span style=""display:none""> about football</span></a></main></body>","[""main"",""link, Read more"",""Read more"",""end of link, Read more"",""end of main""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'Meaningful contextual text is hidden from the accessibility tree. In SOURCE HTML the link includes ""<span style=""display:none""> about football</span>"", but in SCREEN READER it is announced only as ""link, Read more"" with no contextual phrase. This matches the hidden-text trap for ambiguous links relying on display:none content.'}",0.93,"SOURCE HTML: ""Read more <span style=""display:none""> about football</span>""; SCREEN READER: ""link, Read more""","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
css-non-decorative-content-inserted-using-css::sample-0,css-non-decorative-content-inserted-using-css.html,inaccessible,"<main><p id=""css-generated-text"">My favourite food is </p></main>","<body><h1>Find out what is my favorite food</h1><main><p id=""css-generated-text"">My favourite food is </p></main></body>","[""main"",""paragraph"",""My favourite food is"",""end of paragraph"",""end of main""]",,,,,,,,,,,,insufficient_evidence,,0.64,"element_html: <p id=""css-generated-text"">My favourite food is </p>; sr_transcript: ""My favourite food is""","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
css-visibilityhidden-used-to-visually-hide-content-when-it-should-be-available-to-screenreader::sample-0,css-visibilityhidden-used-to-visually-hide-content-when-it-should-be-available-to-screenreader.html,inaccessible,"<main><a href=""rugby.html"">Read more <span style=""visibility:hidden""> about rugby</span></a></main>","<body><h1>Do you know what is the rugby?</h1><main><a href=""rugby.html"">Read more <span style=""visibility:hidden""> about rugby</span></a></main></body>","[""main"",""link, Read more"",""Read more"",""end of link, Read more"",""end of main""]",,,,,,,,,,,,inaccessible,"{'1.3.1': 'Meaningful context inside the link is hidden from the accessibility tree: SOURCE HTML shows <span style=""visibility:hidden""> about rugby</span> attached to ""Read more""; SCREEN READER announces only ""link, Read more"" without the hidden text, so the link’s purpose is ambiguous to AT.'}",0.93,"SOURCE HTML: <span style=""visibility:hidden""> about rugby</span>; SCREEN READER: ""link, Read more""","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
forms-empty-legend::sample-0,forms-empty-legend.html,inaccessible,<main><form><fieldset><legend></legend></fieldset></form></main>,<body><h1>A legend</h1><main><form><fieldset><legend></legend></fieldset></form></main></body>,"[""main"",""form"",""group"",""end of form"",""end of main""]",,,,,,,,,,,,inaccessible,"{'1.3.1': ""The fieldset has an empty legend, so the group lacks an accessible name. Evidence: element_html shows '<fieldset><legend></legend></fieldset>' and the sr_transcript announces 'group' with no label.""}",0.86,SOURCE HTML: <legend></legend>; SCREEN READER: 'group' (no name),"1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
forms-fieldset-without-a-legend::sample-0,forms-fieldset-without-a-legend.html,inaccessible,"<main><form><fieldset>
I am a fieldset without a legend
</fieldset></form></main>","<body><h1>Fieldset</h1><main><form><fieldset>
I am a fieldset without a legend
</fieldset></form></main></body>","[""main"",""form"",""group"",""I am a fieldset without a legend"",""end of group"",""end of form"",""end of main""]",,,,,,,,,,,,inaccessible,"{'1.3.1': ""The fieldset inside the element under test has no <legend>, so the group lacks an accessible name. Evidence: SOURCE HTML shows <fieldset> without a <legend>, and SCREEN READER announces only 'group' with no group label.""}",0.95,SOURCE HTML: <fieldset> I am a fieldset without a legend </fieldset> | SCREEN READER: “group … end of group” (no legend announced),"1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
forms-group-of-check-boxes-not-enclosed-in-a-fieldset::sample-0,forms-group-of-check-boxes-not-enclosed-in-a-fieldset.html,inaccessible,"<input id=""waste-type-1"" name=""waste-types"" type=""checkbox"" value=""waste-animal"">","<label class=""block-label"" for=""waste-type-1""><input id=""waste-type-1"" name=""waste-types"" type=""checkbox"" value=""waste-animal"">
Waste from animal carcasses
</label>","[""checkbox, Waste from animal carcasses, not checked""]",,"{""before"":{""phrase"":""checkbox, Waste from animal carcasses, not checked"",""html"":""<input id=\""waste-type-1\"" name=\""waste-types\"" type=\""checkbox\"" value=\""waste-animal\"">""},""after"":{""phrase"":""checkbox, Waste from animal carcasses, checked"",""html"":""<input id=\""waste-type-1\"" name=\""waste-types\"" type=\""checkbox\"" value=\""waste-animal\"" checked=\""\"">""}}",,,,,,,,,,insufficient_evidence,"{'1.3.1': 'Only a single checkbox within a <label> is captured; parent_html does not show any group of related checkboxes/radios or a prompt, so we cannot determine whether related controls are properly grouped with a <fieldset>/<legend>.'}",0.74,"parent_html shows: <label class=""block-label"" for=""waste-type-1""> … Waste from animal carcasses </label> (no visible group/prompt or fieldset context captured).","1.3.1/form-control-grouping, 4.1.2/name-role-value, 1.1.1/non-text-content"
forms-group-of-check-boxes-not-enclosed-in-a-fieldset::sample-1,forms-group-of-check-boxes-not-enclosed-in-a-fieldset.html,inaccessible,"<input id=""waste-type-2"" name=""waste-types"" type=""checkbox"" value=""waste-mines"">","<label class=""block-label"" for=""waste-type-2""><input id=""waste-type-2"" name=""waste-types"" type=""checkbox"" value=""waste-mines"">
Waste from mines or quarries
</label>","[""checkbox, Waste from mines or quarries, not checked""]",,"{""before"":{""phrase"":""checkbox, Waste from mines or quarries, not checked"",""html"":""<input id=\""waste-type-2\"" name=\""waste-types\"" type=\""checkbox\"" value=\""waste-mines\"">""},""after"":{""phrase"":""checkbox, Waste from mines or quarries, checked"",""html"":""<input id=\""waste-type-2\"" name=\""waste-types\"" type=\""checkbox\"" value=\""waste-mines\"" checked=\""\"">""}}",,,,,,,,,,accessible,,0.94,"AFTER click: ""checkbox, Waste from mines or quarries, checked""","1.3.1/form-control-grouping, 4.1.2/name-role-value, 1.1.1/non-text-content"
forms-group-of-check-boxes-not-enclosed-in-a-fieldset::sample-2,forms-group-of-check-boxes-not-enclosed-in-a-fieldset.html,inaccessible,"<input id=""waste-type-3"" name=""waste-types"" type=""checkbox"" value=""waste-farm-agricultural"">","<label class=""block-label"" for=""waste-type-3""><input id=""waste-type-3"" name=""waste-types"" type=""checkbox"" value=""waste-farm-agricultural"">
Farm or agricultural waste
</label>","[""checkbox, Farm or agricultural waste, not checked""]",,"{""before"":{""phrase"":""checkbox, Farm or agricultural waste, not checked"",""html"":""<input id=\""waste-type-3\"" name=\""waste-types\"" type=\""checkbox\"" value=\""waste-farm-agricultural\"">""},""after"":{""phrase"":""checkbox, Farm or agricultural waste, checked"",""html"":""<input id=\""waste-type-3\"" name=\""waste-types\"" type=\""checkbox\"" value=\""waste-farm-agricultural\"" checked=\""\"">""}}",,,,,,,,,,accessible,,0.98,"AFTER click: ""checkbox, Farm or agricultural waste, checked""; parent_html wraps the input in a <label> with visible text ""Farm or agricultural waste"".","1.3.1/form-control-grouping, 4.1.2/name-role-value, 1.1.1/non-text-content"
forms-group-of-radio-buttons-not-enclosed-in-a-fieldset::sample-0,forms-group-of-radio-buttons-not-enclosed-in-a-fieldset.html,inaccessible,"<input id=""radio-inline-1"" name=""radio-inline-group"" type=""radio"" value=""Yes"">","<label class=""block-label"" for=""radio-inline-1""><input id=""radio-inline-1"" name=""radio-inline-group"" type=""radio"" value=""Yes"">
Yes
</label>","[""radio, Yes, not checked""]",,"{""before"":{""phrase"":""radio, Yes, not checked"",""html"":""<input id=\""radio-inline-1\"" name=\""radio-inline-group\"" type=\""radio\"" value=\""Yes\"">""},""after"":{""phrase"":""radio, Yes, checked"",""html"":""<input id=\""radio-inline-1\"" name=\""radio-inline-group\"" type=\""radio\"" value=\""Yes\"" checked=\""\"">""}}",,,,,,,,,,insufficient_evidence,,0.72,"parent_html shows only a single <label> with one radio; no surrounding <fieldset>/<legend> or other radios are captured: <label class=""block-label"" for=""radio-inline-1""> ... </label>","1.3.1/form-control-grouping, 4.1.2/name-role-value, 1.1.1/non-text-content"
forms-group-of-radio-buttons-not-enclosed-in-a-fieldset::sample-1,forms-group-of-radio-buttons-not-enclosed-in-a-fieldset.html,inaccessible,"<input id=""radio-inline-2"" name=""radio-inline-group"" type=""radio"" value=""No"">","<label class=""block-label"" for=""radio-inline-2""><input id=""radio-inline-2"" name=""radio-inline-group"" type=""radio"" value=""No"">
No
</label>","[""radio, No, not checked""]",,"{""before"":{""phrase"":""radio, No, not checked"",""html"":""<input id=\""radio-inline-2\"" name=\""radio-inline-group\"" type=\""radio\"" value=\""No\"">""},""after"":{""phrase"":""radio, No, checked"",""html"":""<input id=\""radio-inline-2\"" name=\""radio-inline-group\"" type=\""radio\"" value=\""No\"" checked=\""\"">""}}",,,,,,,,,,accessible,,0.93,"SR: ""radio, No, not checked"" → after click: ""radio, No, checked""; parent_html shows an associated <label> with text ""No"".","1.3.1/form-control-grouping, 4.1.2/name-role-value, 1.1.1/non-text-content"
